Iteration,fy_speed_1,fy_dir_x,fy_dir_y,drop_time_1,clock_value_1,drop_time_2,clock_value_2,drop_time_3,clock_value_3,Obscured_Duration
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,1.9758,5.0,2.9758,5.0,4.379999999999951
Iteration,120.01,-0.99993885,0.01105904,0.9758,3.8205,1.9758,5.0,2.9758,5.0,4.379999999999951
Iteration,120.0,-0.98993885,0.01105904,0.9758,3.8205,1.9758,5.0,2.9758,5.0,4.389999999999951
Iteration,120.0,-0.99993885,0.02105904,0.9758,3.8205,1.9758,5.0,2.9758,5.0,3.509999999999969
Iteration,120.0,-0.99993885,0.01105904,0.9858,3.8205,1.9758,5.0,2.9758,5.0,4.369999999999951
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8305,1.9758,5.0,2.9758,5.0,4.41999999999995
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,1.9858,5.0,2.9758,5.0,4.379999999999951
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,1.9758,5.01,2.9758,5.0,4.379999999999951
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,1.9758,5.0,2.9858,5.0,4.379999999999951
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,1.9758,5.0,2.9758,5.01,4.379999999999951
Iteration,120.0,6.114999997774984e-05,-0.9999999999999999,0.1,7.8205,1.9758,5.0,2.9758,5.0,0.0
Iteration,120.0,-0.5198085742022726,-0.4743810157229963,0.555301904456341,5.741021103190953,1.9758,5.0,2.9758,5.0,0.0
Iteration,120.0,-0.7789237401667096,-0.2124002847735461,0.782234966808,4.704560439333181,1.9758,5.0,2.9758,5.0,0.0
