Iteration,fy_speed_1,fy_dir_x,fy_dir_y,drop_time,clock_value,Obscured_Duration
Evaluation,119.6163,-0.9996142,0.0135541,0.9725,3.2591,2.0149999999999793
Evaluation,125.75800908021631,-0.8165652101338362,0.7796910002727695,8.933382337608009,4.513744253250553,0.0
Evaluation,76.9982441072602,-0.5407511080341327,0.3337086111390219,2.2144289052447244,6.543795882193645,0.0
Evaluation,73.94881053189702,-0.27800122773317515,0.9385527090157504,0.11152573444701207,9.922894436983055,0.0
Evaluation,113.22370567394017,-0.388346839511719,0.007066305219717408,0.4413238906129533,5.295269136558053,0.0
Evaluation,97.99026802006789,-0.9533343367863846,0.9737555188414594,3.5450158383685038,0.997003701874926,0.0
Evaluation,91.82147667944601,-0.9310916625194505,0.0,14.9,10.0,0.0
Evaluation,119.7161094692733,-0.9397326346960796,0.0,0.1,8.32170034570034,0.0
Evaluation,110.40522861371326,-1.0,0.01727868113955996,11.600264584697811,9.754850349781254,0.0
Evaluation,135.4327655286346,-1.0,0.0,8.748583793595746,2.1436952873294723,0.0
Evaluation,92.77860003086599,0.0,0.09936654544273943,14.9,3.4323359892251464,0.0
Evaluation,75.11227351425332,-1.0,0.896125786568268,9.883058680798431,3.400696511576115,0.0
Evaluation,109.67000612098187,-1.0,0.009998343165247297,1.170337826067248,3.403825931659904,2.954999999999959
Evaluation,84.63842226683693,-1.0,0.004966370353372708,1.300718125726264,3.5924394167481397,2.0549999999999784
Evaluation,129.78338383717494,-0.8108891415056403,0.7483699844240579,0.1,3.330597598486137,0.0
Evaluation,101.39556488746125,-0.9200567747303893,0.0,14.870329521452405,3.4265680426796155,0.0
Evaluation,77.58786324870478,-0.8784663524442986,0.0,0.1,2.831402024239938,1.7099999999999855
Evaluation,138.96044623656357,-1.0,0.16160373499179329,0.1,4.042004449546645,0.0
Evaluation,89.58679655782964,-0.994446742867179,0.03868465222415858,1.310691167402812,3.383780378965748,2.0999999999999774
Evaluation,132.79585274875933,-0.16450997249517596,0.0,3.8125965341896926,3.3522964636653083,0.0
Evaluation,120.9073952725015,-1.0,0.004043286678096922,0.1,4.375959757206465,0.0
Evaluation,134.4888477629685,-0.9907643038526285,0.23008987796307306,1.146807013119137,5.8787893013176165,0.0
Evaluation,133.11784764329036,-1.0,0.35394964623510966,1.1542951856450259,3.101555539546751,0.0
Evaluation,103.84417002193311,-0.4138627705017166,0.0,1.143788100031862,2.102236278616709,0.0
Evaluation,79.03569153020176,-0.849507928881932,0.0,0.1,3.3766512754152638,0.0
Evaluation,116.45519014560622,-1.0,0.0,1.2174898183594522,3.3107936493258974,1.2999999999999943
Evaluation,133.36825759147217,-0.9697397831257943,0.02046917646905286,0.1,3.4812859183888354,4.474999999999927
Evaluation,139.60157914646598,-0.9835331944080077,0.02059373738557201,0.1,3.489114045473317,4.32499999999993
Evaluation,92.17655902871718,-0.9682665784116058,0.021187020381499715,1.2781163155790762,3.481077545232487,3.5449999999999466
Evaluation,140.0,-0.9616891803936116,0.023431718851370197,1.1832999031821296,3.4680605963826907,0.0
Evaluation,127.34978607982059,-0.9744273440839292,0.01962854769712058,0.1,3.485028240721443,4.479999999999927
Evaluation,138.86713190870393,-0.9757833072148144,0.021910775545337585,3.2249551309787767,3.4870468044777954,0.0
Evaluation,130.73936484683395,-0.8490998559546039,0.020464852891747147,0.1,3.56216031824713,4.059999999999936
Evaluation,132.63554544082996,-0.6833795090843439,0.016006857787705178,0.1,3.4453620060867305,4.409999999999928
Evaluation,96.6341165604183,-0.9909064612820911,0.02035337039085454,0.8707215259219759,3.473925517010095,3.6049999999999454
Evaluation,127.85273091113979,-0.9320505911088977,0.023092606007661408,0.1,3.4028020884359393,4.449999999999927
Evaluation,127.76247247816326,-0.6766430947433336,0.020287287453694885,0.22628687201251912,3.4436499470637476,3.8749999999999396
Evaluation,131.7967273397515,-1.0,0.01662299090930569,0.1,3.391312362303069,4.4899999999999265
Evaluation,127.71114984636682,-0.6978225862668834,0.017828038339513377,0.1,3.4110986193333592,4.404999999999928
Evaluation,99.23335094722393,-0.9955134678087072,0.5442714968567901,13.85799572864817,9.721038375352713,0.0
Evaluation,140.0,-1.0,0.021627774901418866,0.1,3.376724795641922,4.049999999999936
Evaluation,115.21299093864374,-0.6359890790734519,0.844533692465704,14.654807011420893,0.11840266116406226,0.0
Evaluation,102.01055631586193,-0.6677605695570894,0.17333473378066283,1.097914194502921,3.5183409563957575,0.0
Evaluation,129.77583978619217,-1.0,0.017961653997759643,0.1,3.440232458553633,4.4899999999999265
Evaluation,128.40177120532155,-1.0,0.0,0.1,3.300350257528787,2.879999999999961
Evaluation,111.80455483078372,-0.827750586938557,0.9698712727598366,14.463779428834771,9.826274627748308,0.0
Evaluation,111.21568203947608,-0.8795833163975701,0.031528004752072486,0.1,3.426882629502762,2.8849999999999607
Evaluation,74.98233980468832,-0.5984089127574612,0.4674390423092063,10.554339860073165,0.17242500479081052,0.0
Evaluation,101.76124744481979,-0.5061487241301409,0.6176364466572593,4.550358600217546,9.570275340936794,0.0
Evaluation,106.75562412061684,-0.6480733881073522,0.4166936746441533,10.023763122318414,5.456267182753223,0.0
Evaluation,91.3752427413512,-0.5313880842904553,0.016932433761258147,1.0780359756646678,3.249227116148886,3.4549999999999486
Evaluation,138.6569992812549,-0.962396128377725,0.9984803966113117,7.423391438726576,8.348459135623841,0.0
Evaluation,80.14090761556497,-0.05723386941534636,0.2867430523744298,7.844096579492377,9.788319418562955,0.0
Evaluation,105.48386550620148,-0.32062800028661487,0.6070949500005594,14.787546410514151,3.6081461709984977,0.0
Evaluation,72.40858154261493,-0.41063405296937483,0.5827899366192211,3.2483832900653073,0.12157708199264206,0.0
